post_id,user_id,timestamp,likes,shares,comments,label,text
1,103,2023-01-01 00:00:00,33.0,5.0,4.0,Legitimate,Studies show water quality impacts health.
2,271,2023-01-01 01:00:00,31.0,5.0,-1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
3,107,2023-01-01 02:00:00,32.0,3.0,,Legitimate,Clean water access has improved in rural Kenya.
4,72,2023-01-01 03:00:00,27.0,5.0,4.0,Legitimate,Local programs claim sanitation success.
5,189,2023-01-01 04:00:00,25.0,0.0,3.0,Legitimate,Experts debate the safety of boiling water.
6,21,2023-01-01 05:00:00,32.0,6.0,2.0,Legitimate,
7,103,2023-01-01 06:00:00,28.0,5.0,4.0,Legitimate,More East African homes now use filtration.
8,122,2023-01-01 07:00:00,26.0,7.0,2.0,Misinformation,Boiled water increases blood acidity.
9,215,2023-01-01 08:00:00,29.0,4.0,,Legitimate,UNICEF supports safe water projects in Ethiopia.
10,88,2023-01-01 09:00:00,35.0,3.0,4.0,Legitimate,Safe sanitation is key to public health.
11,100,2023-01-01 10:00:00,17.0,13.0,3.0,Misinformation,Studies show water quality impacts health.
12,152,2023-01-01 11:00:00,,9.0,5.0,Legitimate,New WHO guidelines promote water boiling.
13,131,2023-01-01 12:00:00,23.0,20.0,3.0,Misinformation,Drinking bottled water causes kidney failure.
14,150,2023-01-01 13:00:00,,6.0,7.0,Legitimate,Proper handwashing reduces cholera outbreaks.
15,258,2023-01-01 14:00:00,16.0,16.0,2.0,Misinformation,Drinking bottled water causes kidney failure.
16,294,2023-01-01 15:00:00,17.0,15.0,8.0,Misinformation,Natural spring water prevents COVID-19.
17,192,2023-01-01 16:00:00,19.0,10.0,1.0,Misinformation,
18,277,2023-01-01 17:00:00,30.0,6.0,1.0,Legitimate,Safe sanitation is key to public health.
19,161,2023-01-01 18:00:00,32.0,2.0,4.0,Legitimate,Water kiosks now serve clean water in Nairobi.
20,22,2023-01-01 19:00:00,22.0,4.0,,Legitimate,Solar disinfection of water proves effective.
21,253,2023-01-01 20:00:00,35.0,9.0,6.0,Legitimate,
22,236,2023-01-01 21:00:00,18.0,14.0,0.0,Misinformation,Government hides real dangers of hand sanitizers.
23,49,2023-01-01 22:00:00,31.0,3.0,-2.0,Legitimate,Local programs claim sanitation success.
24,59,2023-01-01 23:00:00,35.0,,2.0,Legitimate,
25,170,2023-01-02 00:00:00,31.0,,2.0,Legitimate,NGOs distribute water purification tablets.
26,188,2023-01-02 01:00:00,24.0,,1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
27,271,2023-01-02 02:00:00,19.0,16.0,4.0,Misinformation,Natural spring water prevents COVID-19.
28,190,2023-01-02 03:00:00,24.0,10.0,4.0,Misinformation,Government hides real dangers of hand sanitizers.
29,175,2023-01-02 04:00:00,27.0,4.0,3.0,Legitimate,Public toilets improve hygiene in Kampala.
30,51,2023-01-02 05:00:00,28.0,5.0,5.0,Legitimate,Safe sanitation is key to public health.
31,55,2023-01-02 06:00:00,30.0,1.0,6.0,Legitimate,Local programs claim sanitation success.
32,244,2023-01-02 07:00:00,27.0,2.0,2.0,Legitimate,New WHO guidelines promote water boiling.
33,131,2023-01-02 08:00:00,14.0,10.0,3.0,Misinformation,Chlorinated water is a government mind control tactic.
34,135,2023-01-02 09:00:00,26.0,17.0,1.0,Misinformation,Natural spring water prevents COVID-19.
35,21,2023-01-02 10:00:00,28.0,6.0,0.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
36,167,2023-01-02 11:00:00,30.0,4.0,0.0,Legitimate,Experts debate the safety of boiling water.
37,274,2023-01-02 12:00:00,25.0,2.0,2.0,Legitimate,Experts debate the safety of boiling water.
38,89,2023-01-02 13:00:00,28.0,5.0,4.0,Legitimate,Solar disinfection of water proves effective.
39,14,2023-01-02 14:00:00,24.0,2.0,4.0,Legitimate,Proper handwashing reduces cholera outbreaks.
40,242,2023-01-02 15:00:00,22.0,5.0,2.0,Legitimate,Mobile apps now report safe borehole locations.
41,265,2023-01-02 16:00:00,23.0,3.0,1.0,Legitimate,Sanitation drives are working in rural areas.
42,53,2023-01-02 17:00:00,35.0,3.0,8.0,Legitimate,Water kiosks now serve clean water in Nairobi.
43,92,2023-01-02 18:00:00,26.0,1.0,7.0,Legitimate,East African communities adopt water filtration.
44,264,2023-01-02 19:00:00,27.0,14.0,1.0,Misinformation,Boiled water increases blood acidity.
45,35,2023-01-02 20:00:00,20.0,8.0,2.0,Misinformation,Western NGOs poison wells to reduce population.
46,206,2023-01-02 21:00:00,27.0,8.0,5.0,Legitimate,Solar disinfection of water proves effective.
47,81,2023-01-02 22:00:00,29.0,6.0,-1.0,Legitimate,East African communities adopt water filtration.
48,50,2023-01-02 23:00:00,23.0,-1.0,2.0,Legitimate,Local programs claim sanitation success.
49,2,2023-01-03 00:00:00,34.0,5.0,0.0,Legitimate,Clean water access has improved in rural Kenya.
50,54,2023-01-03 01:00:00,34.0,2.0,3.0,Legitimate,New WHO guidelines promote water boiling.
51,106,2023-01-03 02:00:00,19.0,7.0,6.0,Misinformation,Western NGOs poison wells to reduce population.
52,260,2023-01-03 03:00:00,29.0,0.0,1.0,Legitimate,Solar disinfection of water proves effective.
53,191,2023-01-03 04:00:00,24.0,7.0,4.0,Legitimate,Water kiosks now serve clean water in Nairobi.
54,218,2023-01-03 05:00:00,32.0,5.0,3.0,Legitimate,Studies show water quality impacts health.
55,44,2023-01-03 06:00:00,,10.0,3.0,Misinformation,Boiling water damages your organs.
56,162,2023-01-03 07:00:00,27.0,10.0,2.0,Misinformation,Boiled water increases blood acidity.
57,202,2023-01-03 08:00:00,22.0,9.0,3.0,Legitimate,Mobile apps now report safe borehole locations.
58,270,2023-01-03 09:00:00,31.0,4.0,3.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
59,271,2023-01-03 10:00:00,30.0,3.0,7.0,Legitimate,Studies show water quality impacts health.
60,215,2023-01-03 11:00:00,30.0,5.0,1.0,Legitimate,Safe sanitation is key to public health.
61,252,2023-01-03 12:00:00,38.0,2.0,0.0,Legitimate,New WHO guidelines promote water boiling.
62,190,2023-01-03 13:00:00,22.0,,5.0,Legitimate,Clean water access has improved in rural Kenya.
63,296,2023-01-03 14:00:00,37.0,8.0,0.0,Legitimate,NGOs distribute water purification tablets.
64,213,2023-01-03 15:00:00,36.0,-1.0,5.0,Legitimate,More East African homes now use filtration.
65,208,2023-01-03 16:00:00,39.0,6.0,2.0,Legitimate,East African communities adopt water filtration.
66,237,2023-01-03 17:00:00,14.0,11.0,6.0,Misinformation,"Sanitizer causes infertility, experts say."
67,53,2023-01-03 18:00:00,22.0,2.0,2.0,Legitimate,More East African homes now use filtration.
68,280,2023-01-03 19:00:00,24.0,4.0,3.0,Legitimate,Mobile apps now report safe borehole locations.
69,217,2023-01-03 20:00:00,30.0,10.0,1.0,Legitimate,Clean water access has improved in rural Kenya.
70,252,2023-01-03 21:00:00,21.0,,4.0,Legitimate,NGOs distribute water purification tablets.
71,188,2023-01-03 22:00:00,34.0,2.0,3.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
72,41,2023-01-03 23:00:00,28.0,3.0,3.0,Legitimate,Local programs claim sanitation success.
73,157,2023-01-04 00:00:00,31.0,0.0,3.0,Legitimate,
74,15,2023-01-04 01:00:00,29.0,9.0,5.0,Legitimate,Local programs claim sanitation success.
75,65,2023-01-04 02:00:00,35.0,2.0,,Legitimate,East African communities adopt water filtration.
76,9,2023-01-04 03:00:00,39.0,4.0,3.0,Legitimate,Sanitation drives are working in rural areas.
77,129,2023-01-04 04:00:00,24.0,16.0,,Misinformation,"Sanitizer causes infertility, experts say."
78,136,2023-01-04 05:00:00,32.0,3.0,4.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
79,63,2023-01-04 06:00:00,35.0,6.0,3.0,Legitimate,Proper handwashing reduces cholera outbreaks.
80,139,2023-01-04 07:00:00,27.0,7.0,2.0,Legitimate,Solar disinfection of water proves effective.
81,81,2023-01-04 08:00:00,14.0,12.0,7.0,Misinformation,Government hides real dangers of hand sanitizers.
82,163,2023-01-04 09:00:00,26.0,3.0,0.0,Legitimate,More East African homes now use filtration.
83,289,2023-01-04 10:00:00,21.0,12.0,2.0,Misinformation,Chlorinated water is a government mind control tactic.
84,261,2023-01-04 11:00:00,6.0,11.0,0.0,Misinformation,Drinking bottled water causes kidney failure.
85,231,2023-01-04 12:00:00,32.0,2.0,1.0,Legitimate,
86,41,2023-01-04 13:00:00,36.0,5.0,3.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
87,28,2023-01-04 14:00:00,27.0,10.0,1.0,Legitimate,
88,135,2023-01-04 15:00:00,31.0,15.0,0.0,Misinformation,Experts debate the safety of boiling water.
89,201,2023-01-04 16:00:00,27.0,8.0,1.0,Legitimate,Experts debate the safety of boiling water.
90,268,2023-01-04 17:00:00,37.0,5.0,7.0,Legitimate,Local programs claim sanitation success.
91,33,2023-01-04 18:00:00,32.0,-3.0,3.0,Legitimate,Safe sanitation is key to public health.
92,48,2023-01-04 19:00:00,23.0,8.0,1.0,Legitimate,Proper handwashing reduces cholera outbreaks.
93,62,2023-01-04 20:00:00,21.0,7.0,6.0,Legitimate,Sanitation drives are working in rural areas.
94,216,2023-01-04 21:00:00,36.0,2.0,3.0,Legitimate,Sanitation drives are working in rural areas.
95,293,2023-01-04 22:00:00,31.0,4.0,,Legitimate,Proper handwashing reduces cholera outbreaks.
96,99,2023-01-04 23:00:00,33.0,6.0,3.0,Legitimate,
97,172,2023-01-05 00:00:00,36.0,-1.0,1.0,Legitimate,Public toilets improve hygiene in Kampala.
98,214,2023-01-05 01:00:00,15.0,,4.0,Misinformation,Face masks cause water contamination when washed.
99,35,2023-01-05 02:00:00,27.0,7.0,1.0,Legitimate,Experts debate the safety of boiling water.
100,227,2023-01-05 03:00:00,9.0,11.0,4.0,Misinformation,Boiling water damages your organs.
101,101,2023-01-05 04:00:00,28.0,0.0,5.0,Legitimate,
102,131,2023-01-05 05:00:00,35.0,4.0,5.0,Legitimate,Clean water access has improved in rural Kenya.
103,257,2023-01-05 06:00:00,16.0,16.0,4.0,Misinformation,Using soap daily can cause skin cancer.
104,5,2023-01-05 07:00:00,25.0,7.0,0.0,Legitimate,East African communities adopt water filtration.
105,218,2023-01-05 08:00:00,25.0,10.0,0.0,Misinformation,Filtered water removes essential nutrients.
106,255,2023-01-05 09:00:00,7.0,10.0,,Misinformation,Local programs claim sanitation success.
107,283,2023-01-05 10:00:00,32.0,3.0,1.0,Legitimate,Clean water access has improved in rural Kenya.
108,207,2023-01-05 11:00:00,30.0,7.0,,Legitimate,
109,15,2023-01-05 12:00:00,28.0,5.0,2.0,Legitimate,Studies show water quality impacts health.
110,42,2023-01-05 13:00:00,35.0,3.0,7.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
111,179,2023-01-05 14:00:00,34.0,4.0,2.0,Legitimate,Sanitation drives are working in rural areas.
112,63,2023-01-05 15:00:00,31.0,,3.0,Legitimate,Solar disinfection of water proves effective.
113,231,2023-01-05 16:00:00,32.0,6.0,4.0,Legitimate,New WHO guidelines promote water boiling.
114,241,2023-01-05 17:00:00,34.0,10.0,4.0,Legitimate,Solar disinfection of water proves effective.
115,52,2023-01-05 18:00:00,17.0,12.0,-2.0,Misinformation,Face masks cause water contamination when washed.
116,96,2023-01-05 19:00:00,19.0,12.0,4.0,Misinformation,Boiled water increases blood acidity.
117,222,2023-01-05 20:00:00,31.0,3.0,-2.0,Legitimate,Sanitation drives are working in rural areas.
118,231,2023-01-05 21:00:00,28.0,9.0,2.0,Misinformation,Vaccines in water are used to track people.
119,237,2023-01-05 22:00:00,30.0,12.0,4.0,Legitimate,Experts debate the safety of boiling water.
120,143,2023-01-05 23:00:00,29.0,5.0,3.0,Legitimate,Experts debate the safety of boiling water.
121,171,2023-01-06 00:00:00,33.0,-1.0,4.0,Legitimate,Experts debate the safety of boiling water.
122,29,2023-01-06 01:00:00,,2.0,4.0,Legitimate,
123,36,2023-01-06 02:00:00,28.0,2.0,3.0,Legitimate,More East African homes now use filtration.
124,13,2023-01-06 03:00:00,24.0,10.0,3.0,Misinformation,Rainwater is safer than treated tap water.
125,160,2023-01-06 04:00:00,26.0,10.0,5.0,Misinformation,
126,187,2023-01-06 05:00:00,38.0,5.0,1.0,Legitimate,Local programs claim sanitation success.
127,243,2023-01-06 06:00:00,19.0,11.0,0.0,Misinformation,Chlorinated water is a government mind control tactic.
128,86,2023-01-06 07:00:00,27.0,9.0,6.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
129,284,2023-01-06 08:00:00,25.0,7.0,4.0,Legitimate,Experts debate the safety of boiling water.
130,66,2023-01-06 09:00:00,20.0,12.0,5.0,Misinformation,Western NGOs poison wells to reduce population.
131,170,2023-01-06 10:00:00,36.0,2.0,7.0,Legitimate,More East African homes now use filtration.
132,45,2023-01-06 11:00:00,25.0,2.0,5.0,Legitimate,Safe sanitation is key to public health.
133,62,2023-01-06 12:00:00,29.0,4.0,2.0,Legitimate,Mobile apps now report safe borehole locations.
134,134,2023-01-06 13:00:00,28.0,6.0,6.0,Legitimate,Solar disinfection of water proves effective.
135,284,2023-01-06 14:00:00,21.0,5.0,4.0,Legitimate,NGOs distribute water purification tablets.
136,28,2023-01-06 15:00:00,32.0,3.0,6.0,Legitimate,Local programs claim sanitation success.
137,108,2023-01-06 16:00:00,26.0,,1.0,Legitimate,
138,44,2023-01-06 17:00:00,29.0,7.0,6.0,Legitimate,Clean water access has improved in rural Kenya.
139,286,2023-01-06 18:00:00,43.0,11.0,3.0,Legitimate,
140,128,2023-01-06 19:00:00,24.0,2.0,0.0,Legitimate,Safe sanitation is key to public health.
141,231,2023-01-06 20:00:00,20.0,13.0,6.0,Misinformation,Government hides real dangers of hand sanitizers.
142,190,2023-01-06 21:00:00,33.0,-1.0,3.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
143,225,2023-01-06 22:00:00,37.0,5.0,4.0,Legitimate,New WHO guidelines promote water boiling.
144,283,2023-01-06 23:00:00,29.0,10.0,4.0,Legitimate,NGOs distribute water purification tablets.
145,121,2023-01-07 00:00:00,29.0,3.0,2.0,Legitimate,More East African homes now use filtration.
146,116,2023-01-07 01:00:00,33.0,2.0,5.0,Legitimate,
147,233,2023-01-07 02:00:00,42.0,5.0,1.0,Legitimate,NGOs distribute water purification tablets.
148,259,2023-01-07 03:00:00,22.0,11.0,2.0,Misinformation,Boiling water damages your organs.
149,198,2023-01-07 04:00:00,23.0,4.0,1.0,Legitimate,East African communities adopt water filtration.
150,137,2023-01-07 05:00:00,40.0,,4.0,Legitimate,Clean water access has improved in rural Kenya.
151,165,2023-01-07 06:00:00,33.0,6.0,2.0,Legitimate,East African communities adopt water filtration.
152,225,2023-01-07 07:00:00,25.0,5.0,-2.0,Legitimate,Proper handwashing reduces cholera outbreaks.
153,234,2023-01-07 08:00:00,32.0,7.0,1.0,Legitimate,Proper handwashing reduces cholera outbreaks.
154,172,2023-01-07 09:00:00,30.0,,1.0,Legitimate,Safe sanitation is key to public health.
155,152,2023-01-07 10:00:00,6.0,12.0,3.0,Misinformation,Filtered water removes essential nutrients.
156,160,2023-01-07 11:00:00,24.0,5.0,3.0,Legitimate,Experts debate the safety of boiling water.
157,96,2023-01-07 12:00:00,18.0,16.0,5.0,Misinformation,
158,233,2023-01-07 13:00:00,27.0,7.0,0.0,Legitimate,Safe sanitation is key to public health.
159,180,2023-01-07 14:00:00,34.0,5.0,4.0,Legitimate,
160,113,2023-01-07 15:00:00,34.0,6.0,0.0,Legitimate,East African communities adopt water filtration.
161,52,2023-01-07 16:00:00,25.0,2.0,3.0,Legitimate,Safe sanitation is key to public health.
162,268,2023-01-07 17:00:00,13.0,12.0,0.0,Misinformation,Face masks cause water contamination when washed.
163,295,2023-01-07 18:00:00,33.0,3.0,1.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
164,113,2023-01-07 19:00:00,33.0,9.0,5.0,Legitimate,Clean water access has improved in rural Kenya.
165,101,2023-01-07 20:00:00,21.0,14.0,1.0,Misinformation,
166,113,2023-01-07 21:00:00,10.0,9.0,3.0,Misinformation,Tap water linked to reduced IQ.
167,81,2023-01-07 22:00:00,9.0,11.0,2.0,Misinformation,Government hides real dangers of hand sanitizers.
168,187,2023-01-07 23:00:00,17.0,9.0,4.0,Misinformation,Tap water linked to reduced IQ.
169,113,2023-01-08 00:00:00,34.0,2.0,0.0,Legitimate,Experts debate the safety of boiling water.
170,2,2023-01-08 01:00:00,24.0,9.0,3.0,Misinformation,Experts debate the safety of boiling water.
171,130,2023-01-08 02:00:00,28.0,4.0,6.0,Legitimate,Proper handwashing reduces cholera outbreaks.
172,220,2023-01-08 03:00:00,,10.0,0.0,Misinformation,Boiling water damages your organs.
173,54,2023-01-08 04:00:00,21.0,11.0,2.0,Misinformation,Boiled water increases blood acidity.
174,224,2023-01-08 05:00:00,25.0,3.0,5.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
175,225,2023-01-08 06:00:00,22.0,14.0,3.0,Misinformation,Tap water linked to reduced IQ.
176,126,2023-01-08 07:00:00,31.0,2.0,4.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
177,130,2023-01-08 08:00:00,27.0,6.0,6.0,Legitimate,New WHO guidelines promote water boiling.
178,53,2023-01-08 09:00:00,20.0,3.0,5.0,Legitimate,Studies show water quality impacts health.
179,172,2023-01-08 10:00:00,17.0,14.0,0.0,Misinformation,Drinking bottled water causes kidney failure.
180,218,2023-01-08 11:00:00,37.0,8.0,2.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
181,160,2023-01-08 12:00:00,23.0,6.0,-1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
182,198,2023-01-08 13:00:00,35.0,5.0,5.0,Legitimate,Clean water access has improved in rural Kenya.
183,247,2023-01-08 14:00:00,24.0,11.0,2.0,Misinformation,Experts debate the safety of boiling water.
184,203,2023-01-08 15:00:00,28.0,3.0,-2.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
185,184,2023-01-08 16:00:00,10.0,9.0,3.0,Misinformation,Face masks cause water contamination when washed.
186,123,2023-01-08 17:00:00,12.0,,3.0,Misinformation,Chlorinated water is a government mind control tactic.
187,255,2023-01-08 18:00:00,34.0,6.0,-1.0,Legitimate,Proper handwashing reduces cholera outbreaks.
188,294,2023-01-08 19:00:00,26.0,3.0,2.0,Legitimate,Safe sanitation is key to public health.
189,280,2023-01-08 20:00:00,28.0,17.0,5.0,Misinformation,Filtered water removes essential nutrients.
190,98,2023-01-08 21:00:00,23.0,11.0,-2.0,Misinformation,Rainwater is safer than treated tap water.
191,198,2023-01-08 22:00:00,18.0,7.0,8.0,Misinformation,Boiled water increases blood acidity.
192,240,2023-01-08 23:00:00,33.0,,,Legitimate,Studies show water quality impacts health.
193,144,2023-01-09 00:00:00,21.0,10.0,5.0,Misinformation,Filtered water removes essential nutrients.
194,97,2023-01-09 01:00:00,41.0,,1.0,Legitimate,Safe sanitation is key to public health.
195,201,2023-01-09 02:00:00,31.0,6.0,7.0,Legitimate,
196,124,2023-01-09 03:00:00,26.0,9.0,4.0,Misinformation,Government hides real dangers of hand sanitizers.
197,187,2023-01-09 04:00:00,,2.0,2.0,Legitimate,Mobile apps now report safe borehole locations.
198,259,2023-01-09 05:00:00,38.0,8.0,2.0,Misinformation,Rainwater is safer than treated tap water.
199,148,2023-01-09 06:00:00,36.0,2.0,10.0,Legitimate,Proper handwashing reduces cholera outbreaks.
200,252,2023-01-09 07:00:00,17.0,9.0,2.0,Misinformation,Western NGOs poison wells to reduce population.
201,147,2023-01-09 08:00:00,26.0,7.0,4.0,Legitimate,
202,148,2023-01-09 09:00:00,26.0,2.0,3.0,Legitimate,Proper handwashing reduces cholera outbreaks.
203,199,2023-01-09 10:00:00,30.0,13.0,2.0,Misinformation,Local programs claim sanitation success.
204,128,2023-01-09 11:00:00,31.0,9.0,1.0,Legitimate,Mobile apps now report safe borehole locations.
205,39,2023-01-09 12:00:00,31.0,6.0,6.0,Legitimate,Clean water access has improved in rural Kenya.
206,129,2023-01-09 13:00:00,34.0,13.0,1.0,Misinformation,Vaccines in water are used to track people.
207,267,2023-01-09 14:00:00,30.0,1.0,4.0,Legitimate,UNICEF supports safe water projects in Ethiopia.
208,151,2023-01-09 15:00:00,13.0,18.0,4.0,Misinformation,Vaccines in water are used to track people.
209,298,2023-01-09 16:00:00,28.0,2.0,2.0,Legitimate,Proper handwashing reduces cholera outbreaks.
210,99,2023-01-09 17:00:00,26.0,7.0,2.0,Legitimate,Solar disinfection of water proves effective.
211,263,2023-01-09 18:00:00,20.0,14.0,4.0,Misinformation,"Sanitizer causes infertility, experts say."
212,252,2023-01-09 19:00:00,26.0,3.0,1.0,Legitimate,NGOs distribute water purification tablets.
213,144,2023-01-09 20:00:00,35.0,7.0,0.0,Legitimate,Studies show water quality impacts health.
214,112,2023-01-09 21:00:00,34.0,3.0,1.0,Legitimate,Proper handwashing reduces cholera outbreaks.
215,60,2023-01-09 22:00:00,20.0,13.0,2.0,Misinformation,Drinking bottled water causes kidney failure.
216,2,2023-01-09 23:00:00,31.0,6.0,5.0,Legitimate,Water kiosks now serve clean water in Nairobi.
217,254,2023-01-10 00:00:00,29.0,9.0,0.0,Legitimate,More East African homes now use filtration.
218,140,2023-01-10 01:00:00,20.0,4.0,,Legitimate,New WHO guidelines promote water boiling.
219,37,2023-01-10 02:00:00,26.0,3.0,2.0,Legitimate,NGOs distribute water purification tablets.
220,160,2023-01-10 03:00:00,27.0,1.0,,Legitimate,Mobile apps now report safe borehole locations.
221,9,2023-01-10 04:00:00,21.0,9.0,7.0,Legitimate,
222,233,2023-01-10 05:00:00,31.0,4.0,2.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
223,99,2023-01-10 06:00:00,26.0,4.0,-1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
224,147,2023-01-10 07:00:00,24.0,,,Legitimate,East African communities adopt water filtration.
225,208,2023-01-10 08:00:00,28.0,4.0,6.0,Legitimate,
226,131,2023-01-10 09:00:00,27.0,0.0,1.0,Legitimate,Sanitation drives are working in rural areas.
227,152,2023-01-10 10:00:00,36.0,11.0,4.0,Misinformation,Local programs claim sanitation success.
228,54,2023-01-10 11:00:00,35.0,4.0,3.0,Legitimate,Proper handwashing reduces cholera outbreaks.
229,120,2023-01-10 12:00:00,32.0,2.0,1.0,Legitimate,Solar disinfection of water proves effective.
230,161,2023-01-10 13:00:00,36.0,3.0,3.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
231,116,2023-01-10 14:00:00,26.0,5.0,2.0,Legitimate,Studies show water quality impacts health.
232,75,2023-01-10 15:00:00,26.0,12.0,3.0,Misinformation,Boiling water damages your organs.
233,113,2023-01-10 16:00:00,22.0,17.0,2.0,Misinformation,Chlorinated water is a government mind control tactic.
234,104,2023-01-10 17:00:00,22.0,3.0,7.0,Legitimate,More East African homes now use filtration.
235,254,2023-01-10 18:00:00,25.0,2.0,0.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
236,227,2023-01-10 19:00:00,21.0,5.0,,Legitimate,Clean water access has improved in rural Kenya.
237,112,2023-01-10 20:00:00,35.0,3.0,1.0,Legitimate,Water kiosks now serve clean water in Nairobi.
238,99,2023-01-10 21:00:00,22.0,11.0,-1.0,Misinformation,Boiled water increases blood acidity.
239,153,2023-01-10 22:00:00,27.0,3.0,1.0,Legitimate,Water kiosks now serve clean water in Nairobi.
240,194,2023-01-10 23:00:00,31.0,4.0,4.0,Legitimate,More East African homes now use filtration.
241,163,2023-01-11 00:00:00,38.0,4.0,3.0,Legitimate,Water kiosks now serve clean water in Nairobi.
242,208,2023-01-11 01:00:00,22.0,11.0,3.0,Misinformation,Soap brands contain microchips for surveillance.
243,169,2023-01-11 02:00:00,33.0,9.0,2.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
244,161,2023-01-11 03:00:00,17.0,11.0,4.0,Misinformation,Filtered water removes essential nutrients.
245,68,2023-01-11 04:00:00,26.0,4.0,,Legitimate,More East African homes now use filtration.
246,289,2023-01-11 05:00:00,23.0,5.0,4.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
247,277,2023-01-11 06:00:00,15.0,13.0,4.0,Misinformation,Local programs claim sanitation success.
248,135,2023-01-11 07:00:00,21.0,3.0,3.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
249,195,2023-01-11 08:00:00,31.0,6.0,4.0,Legitimate,Mobile apps now report safe borehole locations.
